Gene Group,M/L MOCK R1 0h,H/L MOCK R1 0h,M/L LPS R1 0h,H/L LPS R1 0h,M/L MOCK R2 0h,H/L MOCK R2 0h,M/L LPS R2 0h,H/L LPS R2 0h,M/L MOCK R1  0.5h,H/L MOCK R1  0.5h,M/L LPS R1  0.5h,H/L LPS R1  0.5h,M/L MOCK R2  0.5h,H/L MOCK R2  0.5h,M/L LPS R2  0.5h,H/L LPS R2  0.5h,M/L MOCK R1 01h,H/L MOCK R1 01h,M/L LPS R1 01h,H/L LPS R1 01h,M/L MOCK R2 01h,H/L MOCK R2 01h,M/L LPS R2 01h,H/L LPS R2 01h,M/L MOCK R1 02h,H/L MOCK R1 02h,M/L LPS R1 02h,H/L LPS R1 02h,M/L MOCK R2 02h,H/L MOCK R2 02h,M/L LPS R2 02h,H/L LPS R2 02h,M/L MOCK R1 03h,H/L MOCK R1 03h,M/L LPS R1 03h,H/L LPS R1 03h,M/L MOCK R2 03h,H/L MOCK R2 03h,M/L LPS R2 03h,H/L LPS R2 03h,M/L MOCK R1 04h,H/L MOCK R1 04h,M/L LPS R1 04h,H/L LPS R1 04h,M/L MOCK R2 04h,H/L MOCK R2 04h,M/L LPS R2 04h,H/L LPS R2 04h,M/L MOCK R1 05h,H/L MOCK R1 05h,M/L LPS R1 05h,H/L LPS R1 05h,M/L MOCK R2 05h,H/L MOCK R2 05h,M/L LPS R2 05h,H/L LPS R2 05h,M/L MOCK R1 06h,H/L MOCK R1 06h,M/L LPS R1 06h,H/L LPS R1 06h,M/L MOCK R2 06h,H/L MOCK R2 06h,M/L LPS R2 06h,H/L LPS R2 06h,M/L MOCK R1 09h,H/L MOCK R1 09h,M/L LPS R1 09h,H/L LPS R1 09h,M/L MOCK R2 09h,H/L MOCK R2 09h,M/L LPS R2 09h,H/L LPS R2 09h,M/L MOCK R1 12h,H/L MOCK R1 12h,M/L LPS R1 12h,H/L LPS R1 12h,M/L MOCK R2 12h,H/L MOCK R2 12h,M/L LPS R2 12h,H/L LPS R2 12h,M/L MOCK R1 24,H/L MOCK R1 24,M/L LPS R1 24,H/L LPS R1 24,M/L MOCK R2 24,H/L MOCK R2 24,M/L LPS R2 24,H/L LPS R2 24
Gphn,12.0960741348,0.2971562842,12.0960741348,0.2971562842,6.5050309118,0.3496318935,6.5050309118,0.3496318935,6.2245270889,0.2691360099,6.3833822983,2.0355928929,7.394559297,0.4212811022,7.1198644197,0.2205130538,6.5645103646,0.3048627907,6.5579760794,0.3357396083,7.5487457968,0.3320055623,7.4570942825,0.4125675143,7.0539722003,0.5861547635,7.0747050689,0.2490142636,7.54629468,0.5757016271,7.6837418936,0.3114311688,9.9911355231,0.6024957088,6.6508347803,1.3820997813,7.208237492,0.3624798868,7.4345711882,0.3875322714,6.0059651595,0.6419818331,6.9160820226,0.399105769,6.7257246417,0.3845652881,6.9892714177,0.4588200299,5.9862810184,0.2933540255,6.4709974259,0.5289193788,6.57771707,0.4003652788,7.4709187603,0.5381118717,10.2597965191,1.0643641541,7.0853689013,0.5224394071,6.5977259822,0.3426842015,7.2029870851,0.4590919432,5.1782325753,1.5143015679,6.7969651054,1.2542518222,5.5721423063,0.5508619797,7.1098030565,1.1672732234,5.4354264471,0.8845045824,6.3432525066,1.7605199485,6.849515238,2.8844899969,5.4730315917,1.4803017359,3.6823065223,0.9605606284,7.8933039737,5.1690831041,3.9878980644,2.3900664325,5.8542781526,3.1727923745
Actn1,132.3602907588,10.9878423424,132.3602907588,10.9878423424,133.7616503679,10.3738690993,133.7616503679,10.3738690993,118.4478055841,16.0632690159,125.2502972588,16.6281198684,131.1359603563,17.3843630959,130.3928155167,16.2044647681,126.3149970895,15.2523759533,127.9366345929,13.1835546731,133.2665008841,24.1589003619,123.8782608432,20.2670574136,132.0435977665,13.6958250299,126.7895256376,15.8553694219,119.8621156027,13.5990711613,131.7895468384,21.3688734647,126.091115669,10.150926384,126.5961253295,23.0943861073,132.3452855392,22.5931329529,124.4829175031,17.4283415894,125.6457527461,22.309243909,123.6273541927,15.7416041512,118.8696419636,14.9529022498,115.2248514935,16.2578756655,123.2715261335,25.5900118393,125.1306308858,20.235311857,119.2445763831,13.4106089009,115.1071344236,16.5666177941,122.6897775061,15.7516200379,121.3362321836,17.5327740462,133.9944597088,20.581495797,128.5188883851,18.0727745987,119.8973390399,25.3573182473,122.9094942393,29.2880376624,110.9848852774,17.1735263829,119.8764414046,26.6508400119,124.4186301196,16.2500937263,117.3822532715,31.2100577424,116.0732995767,25.8596237535,121.2483407723,30.7002769524,108.5992190822,26.549906566,112.2755382045,43.432444106,106.2086885027,25.0959997575,102.9205160059,43.5418949922
Cul4b,8.3202940632,0.7531999827,8.3202940632,0.7531999827,6.4052564359,4.5208427691,6.4052564359,4.5208427691,7.2613005738,1.4773588915,8.6298738406,1.4259843242,8.8211976333,1.6612574544,10.0159218819,1.7863930193,8.0042794666,5.0159722171,7.0404917593,1.6940346836,6.9399119712,3.7993286707,8.5372302264,1.0089378245,7.6124443184,2.384371537,8.3970052418,5.3798677054,7.0918355724,0.8075744202,7.5305664742,1.7604271287,6.5270998925,1.686218593,7.5908800585,1.7858181363,9.2610918752,0.565643442,5.5849094662,0.8344170653,6.9321865058,1.3258755344,7.2229374297,2.2631758772,6.585331121,2.8120210975,6.8571694599,1.0981183908,5.7328401383,2.882833003,6.0615166097,1.8548396294,7.7689626868,1.4873416632,7.7302529323,1.1258110927,6.3213298896,0.9581206968,5.4158829614,1.0960868802,7.3688006803,5.252178395,7.8655510204,3.3717150513,5.9162033858,4.9366265495,5.9385426884,1.8198830134,6.1419687189,1.3931897082,6.6828532054,1.8948295518,4.6082645155,4.7035129178,5.1247071804,1.8644447087,6.4840267159,1.6319919523,6.0952403875,1.400038571,4.3421088308,2.4901510248,2.9666690635,2.4363524701,5.8785348082,3.904356252,5.1134530253,3.703048503
Txn2,18.1720827681,3.8324944965,18.1720827681,3.8324944965,NA,NA,NA,NA,18.1316562179,8.1337360199,23.6192350483,15.0561810856,16.1465291773,1.3989583419,17.833954233,1.3999295321,18.5141996375,4.0335665214,21.297420975,6.6968914323,18.2070924424,2.1993752694,16.2693367221,2.0521565321,21.7088204296,3.371952705,20.3227327513,4.1886301058,17.3354289894,1.6606350673,17.6123091691,2.936906772,22.6697346533,4.5462381451,20.7533033052,3.6533071846,19.3264512009,2.593579841,16.9072149238,3.4174238127,23.5170502817,3.4887767195,20.6901385704,3.5426655052,16.8845433837,2.5370135303,15.6841913543,1.6631037163,19.2215412077,4.4459991042,23.2004374742,4.1326103559,18.1306844313,2.7463987498,15.0116495165,2.1155372425,22.7032399808,4.0104109038,18.8612025931,1.8466611456,17.5186874028,2.0561745311,15.1151568905,2.0073398981,21.1563399902,3.3640521435,18.546430156,4.2347012346,17.0908004945,2.3885263494,13.6573913743,1.941910336,23.4879296588,3.8535721805,16.1124530396,3.3653841576,NA,NA,13.4952271377,1.5641712084,18.6429206881,4.1327157455,NA,NA,NA,NA,10.0291960991,2.1026739541
Rpl19,425.4319385659,62.0029341307,425.4319385659,62.0029341307,529.7017062312,43.5802994403,529.7017062312,43.5802994403,414.0241867041,56.3768968177,453.4579453784,52.184449262,512.8880692472,41.2812961545,613.5090593749,40.9494672748,483.7552818171,80.8026451582,429.791730456,33.2139202848,562.7599061366,46.5126357303,544.152731773,40.3611163439,467.2954826109,31.5500858802,452.2088758916,36.2439903032,530.4755688687,43.2585129927,514.3902789975,55.1261592235,437.2266510726,34.3961873272,437.2318476174,34.3874766157,474.6271619662,40.1008581533,515.3030622648,69.404649475,427.8415322819,69.9843045359,453.189592727,57.2359406463,536.8140528355,49.6594039703,498.2584474103,54.734392996,556.2759454105,81.7321824623,575.7884776589,68.8518897981,511.4703795521,45.1416699913,568.9928493693,75.9913851388,437.0608635909,43.4376995182,458.4244496431,62.6989242067,534.0765860518,55.7250348611,572.5093243147,79.9205312461,605.7253259701,71.3648676465,548.9735308758,93.3427178347,535.4368735017,70.1487913486,567.3902213191,114.9361653342,519.5879615294,86.3349345465,542.5509309625,119.1876564024,561.3497659688,79.6753624679,496.7289285858,107.1097774324,413.9563994601,109.2876523043,436.7761131382,160.4018516587,545.0034825965,182.5202762801,605.8543059079,196.250215514
Arfgef2,3.3635677043,0.6535494803,3.3635677043,0.6535494803,3.292395619,0.6055558598,3.292395619,0.6055558598,3.6125119005,0.5680405446,2.838469802,1.6423657831,3.2483664372,0.7943843486,2.8854596842,0.8658175226,3.3037821874,0.6180957503,3.2338168704,0.6758748188,2.9968789784,1.2592555836,3.0693578916,0.676035222,3.3809456373,0.589496913,3.6361836558,0.8820276337,3.1953061124,1.1012583594,3.2589396655,0.8422696311,3.0302071277,0.6316646331,3.2614165734,0.8193736644,2.8264256969,0.6131273991,3.3796645146,0.779586504,3.3440674307,0.7673519315,3.3089533115,0.5810290456,2.9913736544,0.7125274764,2.8141548479,0.6505394658,2.5992531398,1.0162493479,3.0618137635,0.9570537895,2.9732208088,0.4665106462,3.1638517097,0.4550008441,3.1177065291,0.8680304987,3.0265359626,0.7665639113,3.1483757198,0.7484770608,3.1285680499,0.7097402233,2.9554970858,1.0794834845,3.0125638186,0.9909742467,2.6599291999,0.7195631536,3.0562495808,0.7118990665,2.7966825052,1.0968779656,3.0646363284,1.0536409121,2.7257283262,0.7840148701,2.770189721,0.8759670119,2.3356451156,1.4860713477,2.792025306,1.558354675,2.0066300414,1.2633277103,2.3000335213,1.16476742
Stau1;AK041781,13.1771942755,4.0544125032,13.1771942755,4.0544125032,11.6261429221,5.594811672,11.6261429221,5.594811672,12.5803649759,6.5696419996,11.4792242506,3.9272968879,11.7196235922,5.7079573985,11.3914156076,2.4817845205,13.4927068051,6.4866768618,11.2865152362,4.9198118458,11.0697160451,3.0542579648,11.8868112807,12.6609309528,11.9688016941,3.8420617218,11.1348597212,8.9881418535,11.2813322283,3.0801553903,11.6547798512,3.0199849973,10.0202182283,4.9921414754,11.1310987672,6.725293134,12.6405314825,3.1808982459,10.7437750919,2.132284258,10.619453048,4.4418131804,11.0861975996,5.6310745559,9.9120649317,3.7697393955,10.4149451805,8.5395574153,11.617741315,3.3536277177,10.3608358552,5.1392366469,9.6887455,3.2966070709,9.4851816023,4.430626852,10.2081564384,4.8094275656,9.882556182,6.5629528556,10.5630467057,5.3924099106,9.526838156,6.4571655002,9.3848151073,6.7964236409,8.5176616236,10.7533648253,8.9626705598,4.4826846732,7.938913813,11.885241738,8.9057249397,5.6925875498,9.3861470585,11.7789863976,7.6186626972,7.1329689448,6.1170458511,10.0929994968,7.9465975572,8.3646081521,7.8639426059,15.6123655566,4.7166036292,5.5940598808,5.7952028716,12.8207053432
Sh3bp1,55.2184227353,6.2959600041,55.2184227353,6.2959600041,62.139290216,9.4792358975,62.139290216,9.4792358975,47.5852037448,8.6111859415,47.2884613862,9.2715590019,65.5819464564,8.5826509614,64.4352181484,6.9556624313,50.6082281534,7.8757423194,49.9548724457,10.074250635,65.8966968021,7.9844715552,65.1509934652,8.5124709742,50.0016152516,14.0630019413,50.7434308761,10.4375272646,63.3986144492,9.0662451017,62.9299375688,8.9858022215,48.9895724178,9.6024116442,52.0228921198,8.8573770722,61.3537820687,8.5114020603,62.5428491809,7.85819632,48.4434983617,10.176496123,50.1128344851,9.3422048706,60.10780115,8.283686428,61.2342927979,9.2180188138,48.5782767983,9.1566180846,49.8650821549,8.1664691402,64.8686377494,9.9790001144,65.499704731,8.2847035392,49.5810849918,8.3267880321,49.1287714907,12.0537368667,66.0888353088,10.5036386392,65.7572134675,8.487345198,45.8474506675,15.2838518996,50.285616232,8.7121169107,57.3449359999,11.3797572233,65.584905185,13.3110546042,45.2384995373,9.6552410592,49.2936665908,11.1603391185,55.7280587625,14.016030217,55.2315708289,13.7184181691,33.6094012442,12.2373378113,44.9062521961,17.7673965152,45.161039395,18.9049146328,52.9424921866,24.8006368088
Bptf,0.5179169904,0.2086736208,0.5179169904,0.2086736208,0.3401671112,0.2155966799,0.3401671112,0.2155966799,0.4096113442,0.2064583297,0.5278127581,0.0917610639,0.4992850135,NA,0.4724951,0.7266405433,0.3535153496,0.1874231824,0.4371094654,0.0557253724,0.4357593142,1.3621924883,0.501647179,0.0893740329,0.3355011733,NA,0.3499540409,0.1343530076,0.5189083621,0.2776502588,0.4108040536,1.3250314134,0.4756062877,0.0555282903,0.3963012565,0.0895461102,0.4367208549,1.5774354691,0.6051018161,0.2629478404,0.4438662272,0.1650516023,0.3416002187,0.3240597379,0.3532462769,0.7287867686,0.5328053118,NA,0.4527420746,0.0801941646,0.3846293452,0.6424604239,0.3350909199,0.7627877685,0.3713483225,1.2010132972,0.3937391958,0.0785813731,0.4012292975,0.0945227464,NA,NA,NA,NA,0.3241827206,0.5808992234,0.3778336732,0.1733462699,0.3879309372,0.0993337956,0.3709404366,0.3732451723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3451558584,1.0839249971,0.6097899442,1.0898056937,NA,NA
Lasp1,1722.0359121653,159.3285961397,1722.0359121653,159.3285961397,1512.7855811652,122.472988929,1512.7855811652,122.472988929,1591.8661353393,142.286391972,1478.7517514709,161.5112308854,1402.3645668294,108.2959096908,1253.1072671854,88.9671701132,1634.9537444657,131.5210408743,1570.4598029362,143.1204298133,1375.5468513146,105.7812800485,1302.4401821002,101.4349631105,1556.4755038894,133.3877507641,1655.7257711327,155.8294901491,NA,NA,1341.7446968904,124.2876971259,1566.4821416792,97.2487004352,1603.880685117,110.533202274,1294.4325448106,133.9942543669,1349.6219171387,86.2713781166,1508.9530288373,96.6886647641,1613.2102301418,116.9524817041,1243.2984756341,85.2555964138,1284.5087674127,87.1199506705,1440.1901649705,131.7254319767,1468.1794304133,114.4142814303,1152.3128076576,84.81649971,1279.978742785,103.6377774524,1605.9613331948,130.212293212,1567.5829667159,166.1262778743,1184.2971989585,107.495066936,1274.6571998566,131.1663647959,1543.7059116611,186.0692900675,1550.7429885209,241.0802781636,1169.7979058435,125.5817907778,NA,NA,1557.8356690337,236.7472178276,NA,NA,1230.7045159397,174.612342906,1375.7233118251,230.9007955567,1226.9148756116,360.4300551709,1399.4118335207,513.8409672141,991.6237489238,316.5241267406,1147.6741937251,381.3217027185
