Gene Group,M/L MOCK R1 0h,H/L MOCK R1 0h,M/L LPS R1 0h,H/L LPS R1 0h,M/L MOCK R2 0h,H/L MOCK R2 0h,M/L LPS R2 0h,H/L LPS R2 0h,M/L MOCK R1  0.5h,H/L MOCK R1  0.5h,M/L LPS R1  0.5h,H/L LPS R1  0.5h,M/L MOCK R2  0.5h,H/L MOCK R2  0.5h,M/L LPS R2  0.5h,H/L LPS R2  0.5h,M/L MOCK R1 01h,H/L MOCK R1 01h,M/L LPS R1 01h,H/L LPS R1 01h,M/L MOCK R2 01h,H/L MOCK R2 01h,M/L LPS R2 01h,H/L LPS R2 01h,M/L MOCK R1 02h,H/L MOCK R1 02h,M/L LPS R1 02h,H/L LPS R1 02h,M/L MOCK R2 02h,H/L MOCK R2 02h,M/L LPS R2 02h,H/L LPS R2 02h,M/L MOCK R1 03h,H/L MOCK R1 03h,M/L LPS R1 03h,H/L LPS R1 03h,M/L MOCK R2 03h,H/L MOCK R2 03h,M/L LPS R2 03h,H/L LPS R2 03h,M/L MOCK R1 04h,H/L MOCK R1 04h,M/L LPS R1 04h,H/L LPS R1 04h,M/L MOCK R2 04h,H/L MOCK R2 04h,M/L LPS R2 04h,H/L LPS R2 04h,M/L MOCK R1 05h,H/L MOCK R1 05h,M/L LPS R1 05h,H/L LPS R1 05h,M/L MOCK R2 05h,H/L MOCK R2 05h,M/L LPS R2 05h,H/L LPS R2 05h,M/L MOCK R1 06h,H/L MOCK R1 06h,M/L LPS R1 06h,H/L LPS R1 06h,M/L MOCK R2 06h,H/L MOCK R2 06h,M/L LPS R2 06h,H/L LPS R2 06h,M/L MOCK R1 09h,H/L MOCK R1 09h,M/L LPS R1 09h,H/L LPS R1 09h,M/L MOCK R2 09h,H/L MOCK R2 09h,M/L LPS R2 09h,H/L LPS R2 09h,M/L MOCK R1 12h,H/L MOCK R1 12h,M/L LPS R1 12h,H/L LPS R1 12h,M/L MOCK R2 12h,H/L MOCK R2 12h,M/L LPS R2 12h,H/L LPS R2 12h,M/L MOCK R1 24,H/L MOCK R1 24,M/L LPS R1 24,H/L LPS R1 24,M/L MOCK R2 24,H/L MOCK R2 24,M/L LPS R2 24,H/L LPS R2 24
Hars2,3.0336437911,1.062244667,3.0336437911,1.062244667,3.0688528356,0.5590168697,3.0688528356,0.5590168697,2.4037163426,0.3352253185,2.8297951007,0.329876128,3.0805108806,0.3004238006,3.1154472979,0.643775289,2.6080811383,0.1147258378,2.4021163286,0.2129125952,3.0441805553,0.5302176343,3.2692981509,0.8810341475,2.9997899645,0.262857875,2.7967702647,0.7884451323,2.757418933,1.0985277958,2.8418672401,0.2995196371,3.1753096336,1.3053001974,2.960045193,0.2437388849,3.4188653613,0.2748641729,3.7299520044,NA,3.1189137301,0.4437614877,2.7674945666,0.2704827898,3.5562450426,0.4482208087,3.6922597462,NA,2.5955181313,0.4219187468,2.8074806335,2.0319285062,3.3376784714,0.3287653054,3.7966966917,0.3907866907,2.8269698381,0.2567695489,2.4202198533,0.6754767161,3.4084993765,5.9556731876,2.688979339,6.1668748204,2.682539079,0.9348482559,2.4114642057,0.2618725166,3.7244987868,0.8637367492,3.0541920493,0.3705748812,2.4925760536,0.2819600399,2.1111055133,0.391171182,3.8729045397,0.3800073777,3.4777876566,1.1191834824,2.9274972245,1.1275313177,1.899952698,0.4475222267,4.4408321478,1.4448466282,2.4480433364,0.4715346364
Atp2b1,18.0732492411,6.2744349845,18.0732492411,6.2744349845,24.6946498239,6.2825619059,24.6946498239,6.2825619059,19.1294889792,7.7592005986,23.3149349681,8.2256971662,23.1879656372,6.2801592957,22.4859280534,16.4802450773,19.6482249544,8.5210254711,23.9475706049,9.2890740188,21.8653708718,10.0309884921,21.024145173,7.9723265581,21.1859649428,11.9393860594,26.0452978999,11.5219092137,18.7719068032,10.8011162299,24.9156752041,5.9710073455,18.9733796225,9.4638847256,23.3482030496,9.1150168718,21.120458391,8.2195583456,22.9150894203,8.7798616424,23.1333591587,8.967073825,21.8317734715,9.6568230272,24.1201221543,5.1134839985,28.7033753615,8.1217544562,23.4915429254,16.8815006113,24.7843310519,24.0932192894,25.8981040084,5.9207246573,25.9767492264,6.2089605511,19.8435430112,5.7639799628,19.1619505318,6.5347269627,23.8539723469,9.5609323738,29.1583476541,7.4630153052,24.4162174333,12.1674229985,23.592961102,17.1344134058,25.3330154861,8.964492486,26.8616060846,5.8604003165,21.9433935913,22.3098933683,22.8280401858,17.6502573842,24.9398762347,14.8722943661,17.0675302457,4.4312980249,23.3647860666,19.646667835,18.2941491623,12.8431780199,22.4417860398,13.9902988176,17.2536839762,8.2288298964
Cyb5,789.5384557558,132.5126178402,789.5384557558,132.5126178402,768.375033189,92.8542989724,768.375033189,92.8542989724,802.1318142429,103.910079706,1020.3503871553,123.8207245231,940.1589065072,88.8061721018,1111.7297059211,94.9290711284,849.0869024547,111.8744190743,1032.5019482081,141.7664067136,879.3874579999,98.4598028352,1078.0609689434,100.9613501595,1093.5135542056,101.3361668445,1091.378721265,136.2417878165,975.3800486237,103.859022248,1007.4156149286,93.9181208929,974.3635136466,132.4890517823,1031.4243039784,128.9531005321,998.9511488833,120.4431117443,867.8502485641,110.1028907907,1073.5822075219,132.9964544719,900.2850899068,148.9468987878,931.1094847383,126.8792905294,915.7500671109,114.5636297922,957.2155423937,136.7742113318,910.0486482,119.824961236,952.4023018183,123.9302489371,771.1991726803,92.5339795016,924.3093003187,106.6231909495,884.0170683138,99.1268125463,911.9023698858,113.4399034179,926.3535614484,100.1514457482,1041.1660314563,183.5778274315,902.5426167705,148.8385879844,888.2063883297,162.5623670804,684.7741911882,136.1530491783,948.22347346,209.7747953087,839.3277507731,172.196785371,765.2160412729,198.0293149255,774.0191673333,143.3952347782,957.5151997674,411.0116918409,692.3778685539,409.6445098335,929.1946835455,411.4520380732,635.4398768482,324.2044477691
Sf3b1,51.9146729751,11.7698745994,51.9146729751,11.7698745994,43.7619321793,11.8174586692,43.7619321793,11.8174586692,55.5318553535,7.9330635312,58.06809995,12.6466122301,45.8921506643,5.7814458167,48.467608625,6.6372605733,51.7833060475,9.4229191022,59.0264677653,19.1834686446,48.328476796,5.5203689923,50.5255469834,6.6462696703,54.1625109893,9.9308614216,60.3071071808,10.4108907009,50.185059716,5.508963443,49.2666013734,5.2016498219,49.8061049141,7.943228074,54.8829531265,11.8554619677,50.5936227929,4.9350606813,46.9150699938,5.7586444156,55.2839151022,8.8894895924,53.0452629663,11.9128672907,45.4239872618,7.1848946923,47.706993572,7.4384734066,46.5714046379,12.8624157082,43.0413834112,12.8829388174,45.0066921073,8.902054782,44.1886185754,9.6365431681,47.549664624,8.6448959532,46.7156164633,13.3705453315,47.060740083,9.0787859013,42.097527983,10.2710348816,42.7167995805,14.3765911247,42.4068996124,15.0950323093,42.274991407,13.0907757774,42.9224824497,13.2362575389,41.0453968573,15.9331742011,41.3715711325,17.006517172,36.2110175902,13.6818988337,29.5564908703,11.4349010476,37.8017957754,26.6792100116,26.0998945515,20.2841420483,31.377348578,27.3472495924,26.1279532911,20.6144256734
Trip12;AK032919,5.6980009197,1.575162306,5.6980009197,1.575162306,5.7925179072,0.6903943901,5.7925179072,0.6903943901,5.3004738336,1.0793898535,6.0071097232,0.9570353978,6.0085127069,0.5508073212,6.2863959007,0.7020634565,5.3699350909,0.8153133974,6.180140655,1.4408223538,5.5711408902,0.8522854924,6.2774320144,0.7245515835,5.7652410484,1.0304826682,5.7119669499,1.361149571,6.0248742462,0.8979492943,5.8135036576,0.9476415058,5.3399937051,2.6105343731,5.3730804347,1.5994976726,5.5751864649,1.1134546755,5.5651912019,1.1699887102,5.6047804957,1.6252340809,5.1285378895,2.019275755,5.2630308333,1.3062709663,5.2832395308,1.6778520286,4.7244661673,1.4725645101,4.5644972557,2.3043193513,5.0130064524,1.5336777068,4.7959363159,2.3253625615,4.9967351059,2.0766369902,4.9646244136,3.0348747785,5.1421922521,1.7532093594,4.7669451085,2.8482544815,3.9292374773,2.1335219481,4.071817043,4.1345518863,4.1182497482,2.2845489448,4.0077546454,4.4122032152,3.6684267913,2.8986918614,3.5483308845,4.7534270521,3.7634598668,2.9999026254,3.3472864589,4.5250353982,3.7480622384,5.0980026123,2.6050623717,5.481755597,3.2600694142,5.8316657618,2.6173298666,5.5620648321
Edc4,21.3858763533,3.4833800788,21.3858763533,3.4833800788,18.9625691621,3.7323352797,18.9625691621,3.7323352797,23.5074858921,4.7727361516,22.4628835178,4.9431335366,22.3989711662,3.6265458594,19.9378119109,2.0714343897,24.1058049249,3.6452426655,20.3324527945,7.0075861839,22.890358165,3.8012061254,19.9316048835,2.8974780955,19.1152246743,5.8889329229,23.0188630582,7.3000189245,18.9784339287,3.0230690676,20.0552595848,2.7318769268,19.502168703,5.4351187336,22.3538930337,4.8407084118,19.1664814524,2.0552921722,24.3389882045,4.8046046642,22.1620105169,5.446420297,19.2327394296,3.583208928,21.3174472711,3.7655709503,24.0079249872,3.1032556183,21.9343536267,4.3930143802,24.6048967947,4.4312483488,19.7813847889,4.4224752809,23.4325328918,4.8183797458,21.7540546003,4.8400395922,22.4951195308,5.0378237601,18.1145231785,4.4354134063,21.6105521822,3.6548967072,21.0117508851,5.2244527906,21.7076948427,4.8423260079,21.5334497079,3.262058835,21.5753608108,4.4282596097,19.6755129736,3.663034983,21.5770105027,3.6644738282,16.0606905632,4.1204733953,15.6705748908,3.2860786833,13.6613193191,6.4956109358,16.1509142845,6.408959771,14.2220264306,5.6029223099,17.6026568483,5.1102408431
Osbpl11,9.5322368451,1.6510487991,9.5322368451,1.6510487991,7.3962297231,0.7502065602,7.3962297231,0.7502065602,8.7057328745,2.4590036477,8.5503745499,1.4423179893,7.2304158391,0.8733913339,5.8433954465,0.8540585031,9.8986997248,2.0572028369,8.9937530031,1.7276719315,6.1039129028,0.6448011374,6.1719937082,1.7877921075,9.0851882069,2.3228356726,10.1354288641,2.4717539407,7.5542732308,0.6438932999,7.0106197845,1.8357614139,8.3601131523,2.5497279425,9.595974783,1.9908618215,6.2268997554,0.9707047978,6.9645503644,0.8477684989,8.452414161,1.7178139918,10.6356090346,1.6247700663,6.5230114183,0.7380954846,6.1388940353,0.5058514059,8.1812761567,1.1523001733,8.5340206029,0.8193592931,6.2106628873,0.7862858463,5.7913412309,0.9216226529,7.9381389751,1.2985765831,9.8149813313,1.8518665279,7.2551531225,1.40219753,7.1989867613,1.546767426,9.7600500428,2.3271021279,9.0465312508,1.338484469,5.7832122615,1.2344160028,5.7185744037,0.8928349482,9.6911702342,2.4066793299,8.7061957065,2.1943494318,6.0603086993,1.8581333714,5.5743062463,1.1968782415,7.9016747713,5.1672679415,7.5698454785,2.7627882561,5.059140369,3.3703962442,4.6708529209,1.4027648821
Lrrfip1,98.8817584877,15.6196708854,98.8817584877,15.6196708854,NA,NA,NA,NA,95.5776136445,17.1477727198,94.3491597393,15.9557229834,81.5261725272,11.2318122475,77.4466313176,9.2832560283,105.9314879469,19.5959519557,94.7432165014,NA,80.7405957919,10.5770686117,78.2014146313,15.7059912329,91.5046200296,14.500908493,106.5705581812,20.621734785,81.6927954694,16.4993585004,76.9199574435,10.6150968852,92.559239297,15.0775430415,98.9660554039,15.8732354542,81.9356098649,NA,79.6276063834,16.6399922447,94.08085118,17.8189456707,96.6928076424,13.9770346012,80.236133983,20.5064167812,77.1041671671,19.7202919205,93.5200086286,13.3348299179,93.0761119492,18.181256716,73.4782794427,15.4001714681,76.9817945743,21.7429475387,90.0535264064,18.3767198113,95.8937975875,17.2421619357,80.3617225449,7.9608748717,78.9398968925,9.2921834665,81.5244812851,16.0180471424,89.891836645,20.3213432314,68.3231873265,18.4425710252,76.5756480153,17.7510677591,78.8986359232,23.2814077918,83.8518729001,24.3722045988,64.3405941409,16.7605324656,NA,NA,59.8931553115,25.9239679405,84.3587079472,31.9474143493,51.3239181525,22.4699116097,73.1013706099,27.4080939977
Cherp,29.4003343952,4.0158691278,29.4003343952,4.0158691278,31.6514674808,3.6174932145,31.6514674808,3.6174932145,41.3755632825,5.2441037624,33.4858603307,8.5610997858,31.8097708079,5.2015264698,36.3163708152,6.7752471559,31.0118275141,8.9930031993,34.9989933289,4.9802263206,32.7297099472,2.709177474,37.0689162264,4.2736031417,32.9587201675,5.3710922675,33.8597329473,5.7526406374,32.8398157856,5.4360496485,29.3676120751,2.9531207105,30.5063983607,6.9883822864,34.0277983812,2.3685086253,33.942676244,4.0386575111,36.1052107032,3.7300984624,31.9460898812,6.1779286065,35.3075218645,3.6290384313,34.0896238781,3.8876839067,34.9031724455,4.0592966548,30.857283125,5.7679656533,33.2494003592,11.168564351,32.893564053,3.3991550139,32.8739681731,3.0896338906,31.9063905173,4.180407576,33.1973056219,2.7241760799,33.2968920878,5.3318035572,31.3667547084,5.0194552411,33.3509388217,7.2820227199,29.4117862285,4.6825459705,32.2749762928,4.3112684065,33.6626137067,4.6985660519,35.3677579806,6.9040651228,30.065762496,6.9761308946,32.917249166,6.9169315428,29.463483351,7.2536131071,25.3680083083,9.3244538801,22.6367803382,10.5590110827,31.2237101549,11.2533286004,31.5829562508,10.0103608925
Notch2,0.8752321842,0.1808424523,0.8752321842,0.1808424523,1.5798241729,NA,1.5798241729,NA,1.1646153929,0.355271077,0.9714676748,0.3348721248,1.381435001,NA,1.5344000991,0.5363902372,1.0292596159,0.1952493165,1.0080902268,0.1969208205,1.3920739009,0.4756229284,1.5754040957,0.315906006,0.7001576598,0.3612005354,0.931799768,0.2059896735,0.9616976809,0.4244533201,1.3595064796,0.5550254717,0.7703326576,0.4114951706,0.8774574701,0.5711504155,1.156133746,0.5634605004,1.2646744917,0.7646578989,0.906852925,0.6644781173,0.6829898708,0.9604063793,0.9723614192,0.6568438977,1.1775737442,1.1676959015,NA,NA,NA,NA,0.7864302493,0.6480863648,0.9546075358,1.4200617441,0.5789158486,0.4929350349,0.8299022703,1.6066458149,0.6847007463,0.8870027192,1.0103671469,2.2004189778,NA,NA,0.9672556908,1.8011415406,0.5920494241,0.7783064727,0.9054389666,2.8944815785,NA,NA,0.8747614523,2.0417270646,0.5353219986,0.7902852667,0.6979724458,2.2886879458,NA,NA,0.4571280359,0.9206808593,0.9946919966,0.8464554278,0.4029125869,1.1923064539
Wdr11,2.6073867281,0.4736255176,2.6073867281,0.4736255176,1.8141097208,0.146404624,1.8141097208,0.146404624,2.1855947801,0.509095251,2.0930377501,0.5810840048,2.0245261765,1.4146072081,2.5033409912,0.6171308574,2.5968810311,1.0792267235,2.2894611759,0.2180543044,1.6972402854,0.7328929113,2.0256647054,0.5245796691,2.5989675141,1.5017683919,2.7963275751,0.6114293722,2.0408836776,1.2069098672,2.029267304,0.1077303531,2.6088426565,1.6268757973,2.6737639009,1.0614704847,2.257024417,0.4728958616,1.9053498539,0.2111614782,2.599831286,1.4654068369,2.4203546469,2.0265749284,2.0202245404,0.0769761227,1.1917610684,0.5339522155,2.4951154359,1.5291242649,2.0970585979,0.2772898868,1.4215386563,0.6033551889,NA,NA,2.7605552061,0.973396576,2.1740635964,0.4150234749,1.9961365274,0.2631331661,2.0389786656,0.1594443757,2.477482529,0.5489826684,2.3017179111,0.6773807694,1.756593166,0.6005511695,1.4099943001,0.8461256498,2.3087060096,0.694657478,2.6625441612,0.570378724,NA,NA,1.8466705268,0.1959225859,2.601945544,1.0515924382,2.6381856831,0.6928352972,2.0520350377,0.5116605027,1.7368516099,0.8262934941
Scyl2,2.6915862975,3.6237583906,2.6915862975,3.6237583906,2.5314450115,2.0063272847,2.5314450115,2.0063272847,3.1525958463,2.3724660855,2.3592330983,1.7533032978,2.5435219365,0.7650909758,NA,NA,2.465703323,3.7164604319,2.335062786,1.8163576471,NA,NA,NA,NA,NA,NA,NA,NA,3.240951424,1.9594338163,2.6365906032,4.0507765778,2.5212797253,5.5716406494,2.8152551764,3.0408176573,2.7072258926,1.8970425904,3.6233674489,3.4539092757,2.4696660976,2.3124394624,2.4467369632,7.169804831,3.204565706,3.2442770151,3.6650429738,6.3391493609,2.4011398286,3.604758693,2.5886818088,5.3917366015,2.8496783902,7.3044713794,3.8307043253,4.5012391738,2.2281458805,18.2808096753,2.4073591948,6.4791624694,2.9553637443,4.3118683245,3.0151256102,1.6620839299,2.6563053594,9.8242641099,2.513070382,1.9156826335,2.9132543394,3.1766583804,3.1252859993,3.9163312198,NA,NA,2.5741589411,3.6434901716,2.7648819165,3.9426482307,NA,NA,1.799301495,4.363327059,1.2351924809,18.1594168377,2.9023599106,0.9418467616,2.4627494621,1.2652838701
Pnkp,39.9794663419,9.2285629991,39.9794663419,9.2285629991,35.8839143524,7.0971870201,35.8839143524,7.0971870201,37.5894897733,3.988367954,37.6834918852,5.8340517711,39.2658983686,9.5110653862,40.0108209626,7.8445503234,39.3613801416,3.4286009305,41.1258179953,6.4312590471,39.6027203281,10.5832724241,42.0955317096,11.3815697664,40.5438176656,7.5958951668,39.5302474337,5.4428540999,39.7757996892,6.6427845056,37.6178542109,6.5273752324,38.3774178448,7.5354845249,36.7033631034,5.5037594081,39.2625313363,13.0075923837,35.2835436512,6.7977534154,38.0364982416,5.4980931992,34.2937073574,3.0813080996,37.5327093432,14.1021449366,34.6554286891,10.5976730791,40.980381764,19.1095606334,36.0289978037,12.8706684617,36.9518401769,10.741496666,34.0639240129,9.9097284349,40.8894732781,9.1793983006,35.3220722595,6.4781641556,37.8996933541,10.180986434,35.3928490093,7.9628261732,33.7676872837,11.5073906816,32.6763287888,13.4275912596,32.2977947198,7.7519342713,31.0130438237,7.8854589968,29.4268060815,12.3547867774,30.1667659419,11.699773677,29.8099120525,6.6825487232,27.7284215415,6.5129342939,24.5865250584,13.5318843667,22.3177374537,13.2440686452,22.0380199027,14.7754384324,20.7123593629,11.5247360762
Tpm1,91.1890847082,25.0649220475,91.1890847082,25.0649220475,85.76971808,15.9115411806,85.76971808,15.9115411806,92.4142723605,17.7403293739,123.0257191301,18.8023941708,90.7753972394,13.4115758319,84.4993295372,21.0821885522,92.679471135,15.740397104,96.4438704702,11.7600249036,85.4149428407,6.3402602961,93.0544187705,18.8360691633,93.6929260553,20.3013986577,95.801476561,12.2593316534,86.9985563749,14.298538245,89.9705343839,8.0052037636,96.9938307585,14.5744639141,94.7464610984,20.1615587165,87.1086811972,22.2995009522,88.863682837,21.8601691545,104.4082353041,18.4112106276,92.6588831221,10.9339164961,86.8799298668,17.509466209,85.3549589291,18.2148759429,94.1506671842,10.2072757145,95.4039914237,15.7484239509,89.8874830345,21.9850361171,86.0083547158,16.1611683983,97.5997859794,12.2917152629,89.8002171947,15.3100708731,90.4197438548,10.123491876,86.0775210781,12.3300682619,100.0511379674,16.5787355682,89.8278919869,30.4083236509,86.9791664345,8.7381553336,83.2612683752,14.035243383,96.7472833537,26.1770618721,87.6033081,31.5672224357,91.179087122,13.6329692613,73.5398639665,10.6011834352,91.8570503316,31.8610500772,82.7539984364,21.3661676752,87.4421585318,30.0948182718,73.7557844833,16.3191637667
mKIAA1558;Ppp6r3,5.2519514112,0.3038753662,5.2519514112,0.3038753662,6.3805754419,0.4933670197,6.3805754419,0.4933670197,5.4355984106,0.3496722127,5.1484094904,0.5912478082,6.151306962,0.5602832201,5.8375376045,0.4270667221,5.3339149927,1.3306742813,4.8828991723,0.4653294303,5.8732167713,0.5414482295,5.8435769559,0.4869754825,4.8794183938,0.3791783467,5.0756711146,0.6004587141,5.9325875682,0.6419464106,6.2804811189,1.2694035262,5.3369000527,0.3645413836,5.2781845844,0.5232961123,6.181347824,0.6356326799,6.0333532553,0.5949854044,4.8128676069,0.5467291751,5.3163153863,0.6441293659,5.5724466728,0.5778324871,6.2089543739,0.7118303748,5.3724724168,0.7889014419,5.1795064219,0.5646055983,5.5741006618,0.6268027299,5.9572992982,0.70336063,4.6015880641,0.5724677157,5.1472958934,1.7763313141,5.3521120724,0.7318657835,6.4313487106,0.971663128,4.9672206975,1.4365015752,5.750867217,1.0802818447,5.0985050723,1.7816136772,5.8912697444,1.1556673202,4.7714180323,1.3177776431,5.2443324677,1.4454269979,4.7046613331,1.3687894253,5.3900276985,1.3036485709,3.7516698256,1.9613177679,4.1642134083,1.9759040488,3.6978380146,2.4371327933,4.850626525,2.3163495687
Hagh,95.3489038268,6.3655898337,95.3489038268,6.3655898337,72.8083418335,6.1189798964,72.8083418335,6.1189798964,105.9034242979,10.8506179114,99.6515808992,15.5837469222,72.6050104962,9.7752405512,70.1852320057,8.9343866903,101.3701711502,11.7778732139,102.6479581612,13.7848056323,69.0671452086,7.9412701541,70.5379229627,9.3024329323,106.3144122523,16.6018349385,105.2659010904,12.5466312667,71.8282693171,9.8072069457,71.3089014464,8.5911384839,100.6265717817,17.2037046662,101.4294878409,12.0279571124,74.6414433368,11.4073134106,63.4512448007,7.8577155139,107.8257959256,7.4233265317,115.6257949478,10.2551395996,67.5563346256,7.8813530627,61.3553043882,6.8643060013,93.27315716,14.4780575809,97.6529154762,15.8203862246,63.2103543411,10.0148176007,66.6727582272,4.7686185466,93.8722002502,9.9967851904,103.4062949954,10.1198258238,70.1524365195,8.2158115889,72.1406874082,7.6526258195,117.4140226397,20.2032233928,105.9083158059,16.2642577769,66.3359854025,11.420657392,59.1157287796,13.076802703,103.3440157348,24.214606392,99.0600535685,16.8586038367,69.009531162,14.2094281592,63.559621567,15.2080941907,96.9477650964,34.1511275334,95.3845683049,31.1628576408,60.4521555473,20.1310002113,58.5044488574,20.9821794976
Arfip1;Glt28d2,42.7846302077,3.392579132,42.7846302077,3.392579132,46.9877076616,4.4607552208,46.9877076616,4.4607552208,42.7436038282,7.6501138724,39.1858021319,3.7739650377,41.9492921296,8.2316082481,42.4483083055,7.6888411018,40.1722680102,4.6634393117,40.8792025403,2.6647604946,43.9980122852,8.488808115,43.2573256008,10.2635170075,39.5990396802,5.1623942656,40.2881367818,6.9203821877,48.1719693862,12.0194268092,43.2874737995,10.0380083759,38.9299720556,2.8159009968,39.3979789888,6.8719212687,39.3808091871,9.8295014413,44.2104481786,10.0986165251,39.3138935017,4.8475409848,42.5166258992,8.072135242,36.7155967049,9.9879913311,42.5010890528,9.1532834492,36.8929243451,9.054238942,41.0392077849,9.0724418274,34.8027821008,9.5192547383,45.426455966,9.4186663157,39.1038340504,4.1848431197,42.9915576599,3.0917391836,36.9066575741,6.0071348071,46.0170515516,6.4980921989,37.0870650046,9.8007444171,47.7046731089,6.9316649583,32.6240306153,10.5254734858,40.4273210665,10.7707061359,37.6807115355,7.8981435988,40.9307058469,10.0096341801,41.6254132726,11.6787527204,38.2723220778,6.7294664544,23.2882771205,9.5152998575,36.1566521627,13.4166867858,22.0162930277,9.5051402836,36.8861125281,10.3982487971
Hnrnpl,567.8560232095,47.1452338227,567.8560232095,47.1452338227,515.6050597617,54.632212177,515.6050597617,54.632212177,569.3853636933,51.1252614754,594.4158140189,49.8965105731,486.5331418135,48.2248321189,550.6740465033,61.4741630207,583.8449395713,49.0060173094,588.1499586677,45.0572347509,496.7200262008,69.6855625652,535.4520505209,54.3971429795,579.1904609463,48.1599953617,603.6799823835,50.5349241962,537.1091455408,52.4705074655,543.4634074372,50.9619982912,575.5030351602,50.6622353495,572.0902466791,51.529603868,561.9591527566,56.0560483325,528.1288765416,86.5880401788,598.0253979751,65.867443266,575.7823751581,54.3922752946,510.8206936312,61.5794965427,524.2913123094,60.7795196145,620.1859896162,78.3315106056,566.0165733933,80.4391454242,526.8847850049,68.428539555,499.1042843546,60.4192709491,562.1484531598,64.8593669014,594.2301704613,60.1262225936,549.9831741214,66.8051657269,535.5154492552,60.9302458471,550.6648582157,88.8229882255,546.7069595909,74.3827400505,460.981758058,77.5361543589,464.0755022095,66.8072243908,543.8938667559,122.8998581891,521.979267306,89.0361574122,467.7630415092,91.1510662497,477.4849150683,59.2852840432,518.6481624942,178.3224085947,411.4790464021,134.3706206365,491.6924811892,199.8764873047,378.1248185878,123.3721018429
Nptn,23.826520396,3.9024125955,23.826520396,3.9024125955,17.0095736875,3.0522470307,17.0095736875,3.0522470307,31.2740618514,5.2542602971,33.738552394,4.8149644007,15.0887615546,2.942129723,18.984712443,2.8447681493,28.4536597175,3.94791903,31.0343647575,4.0249319944,18.8811636251,2.8926104226,19.0876256405,3.4636365416,31.873827873,3.9124208078,30.3410597234,3.9158832658,16.3946110271,1.7157192,18.4298093177,3.1788265431,29.0963918971,4.030933772,25.4323093708,1.7438937543,16.9514870294,2.4159916179,NA,NA,28.8886122624,3.587332702,26.1863361325,3.0779170392,19.6815063467,2.4561973593,19.4233368093,5.7383754187,27.1517802914,4.2968655361,27.4170153254,5.2603228303,16.2860068918,2.8293965899,15.4912337999,2.8687636371,27.9565832994,NA,26.1728849937,6.8034009369,NA,NA,16.2019374154,3.3044621265,27.5991920492,7.1659483766,20.9397249011,9.4127435927,21.054588988,NA,17.9229242399,3.7918200277,22.3792393412,10.6048584449,24.3666834326,NA,15.3495384351,7.5447973614,11.039697829,5.7633951721,28.2604598108,24.0732834386,19.588095392,12.0957232846,16.3166191187,12.8784875749,15.2116676961,10.5490992277
Kbp;2510003E04Rik,2.1281541093,0.786525636,2.1281541093,0.786525636,3.9908767163,1.9812013983,3.9908767163,1.9812013983,1.9872718085,0.8093270155,3.0196053897,NA,3.4406880176,1.5270747664,3.3045842592,1.1572629513,2.4463415177,0.4339766717,2.4337001971,0.5931048666,3.3912534881,1.7437169984,3.7693660813,2.7195524996,2.3916479022,0.7425635859,NA,NA,3.6114785592,2.346175402,3.4318607598,1.5771889721,2.2439466713,0.7091508196,2.2001852982,0.5123150746,3.6176796739,1.6247576275,3.3313930929,0.8557899829,2.1234881709,0.8962125521,2.2712354414,1.077387492,3.4040985087,3.170614265,3.8879555546,2.5618740005,2.3506194732,1.0659874877,2.2076586905,0.4454636116,3.1914332354,3.141401618,3.0387682134,2.6663846354,3.1191554575,0.9095456344,2.3737838367,0.534428311,2.4887718316,0.8609106198,3.2887174075,1.1392658296,1.9409886464,0.814980228,1.803193807,0.9763443289,NA,NA,NA,NA,1.9866225248,1.220071646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8946334584,1.7385912328,NA,NA
Golph3l,5.4942627162,3.8069415364,5.4942627162,3.8069415364,6.3569781912,5.3094123405,6.3569781912,5.3094123405,7.1138830431,23.3594888251,6.4892650821,2.355167019,5.9213032992,6.841809007,7.7011834484,4.7571610439,7.172807736,15.1560869189,6.6861797273,12.4388816916,5.9299396141,6.6056192179,8.0815566503,3.6384404969,NA,NA,5.9086210173,2.5611916509,NA,NA,6.6251017434,6.5548450604,7.023644253,2.4753328215,9.7169769837,2.5329424544,5.0233673843,4.3538206149,NA,NA,6.9734220583,2.6469912623,8.2009832415,16.5053543586,6.8181818956,6.8262372449,6.1014030221,9.4843871938,5.3855857059,2.9029800122,5.1230106771,7.0694956501,NA,NA,NA,NA,6.0200960783,2.1354555005,4.7972835987,3.4273242714,6.4117051074,5.1315303368,5.7042408073,6.0872991756,7.6646538328,10.6560555296,11.8178276958,6.198198049,NA,NA,NA,NA,5.1857561697,3.7529520481,4.2960081338,5.0759645442,NA,NA,3.8953729184,1.861354806,4.2436158132,5.9579206325,7.4305336421,6.4883366726,7.7760885106,7.8623100345,3.5628251052,2.9725067249
