Gene Group,R1 MOCK 0h,R2 MOCK 0h,R1 LPS 0h,R2 LPS 0h,R1 MOCK 01h,R2 MOCK 01h,R1 LPS 01h,R2 LPS 01h,R1 MOCK 02h,R2 MOCK 02h,R1 LPS 02h,R2 LPS 02h,R1 MOCK 04h,R2 MOCK 04h,R1 LPS 04h,R2 LPS 04h,R1 MOCK 06h,R2 MOCK 06h,R1 LPS 06h,R2 LPS 06h,R1 MOCK 09h,R2 MOCK 09h,R1 LPS 09h,R2 LPS 09h,R1 MOCK 12h,R2 MOCK 12h,R1 LPS 12h,R2 LPS 12h
Gphn,16.4207739073,20.3324733991,16.4207739073,20.3324733991,13.3330509163,13.4445872844,17.2210224282,17.8591392248,8.9783257518,11.7420447719,14.7193465019,15.6241920073,10.9537091943,12.7933245649,24.1938379794,20.0524303707,12.263751221,13.9020077385,28.0817959112,31.7648851632,11.3186407168,11.7517581616,22.7707634532,22.3827495227,14.1307985442,10.7731902237,24.2016712211,28.5373045202
Actn1,334.088792277,397.5358799184,334.088792277,397.5358799184,322.7628924927,374.8186526551,391.9603109844,382.8024022304,274.0275595215,426.439230223,511.5412969655,656.2069420215,389.4098285603,401.9020681002,531.0319948646,716.086271207,385.8346796615,414.1198202871,611.900859836,678.5928526154,360.5804819025,413.0029223026,452.3316817929,533.4763425297,386.3755760044,419.559371633,319.2158005082,474.3871540683
Cul4b,23.1495691014,18.4909386196,23.1495691014,18.4909386196,24.2916199363,21.8316390463,27.3580020881,17.5237681518,20.5085430492,18.985117033,16.0481541745,16.2285798137,18.0765409228,21.5193811739,13.8965540802,11.4707115742,27.2887696832,27.6144486517,16.2952214348,13.3028692982,24.0103610858,22.2376732933,13.5518736265,13.3738962073,26.200695449,20.2527917236,16.6259344824,16.1284403552
Txn2,303.8660296707,295.7787499514,303.8660296707,295.7787499514,360.687086396,279.8361519149,266.1694889174,220.2171160101,361.2107439783,267.3392925422,188.0886925565,192.061019442,308.5038810374,241.8138942222,143.3490169302,152.3326975918,295.6233140242,367.1367241765,107.0010014138,81.5745849761,348.826571067,302.8637751861,92.4520489777,119.6736483712,328.6138278727,261.9451665483,91.3299790551,98.00942689
Rpl19,2839.6487974581,2547.2514628338,2839.6487974581,2547.2514628338,2795.0118985987,3275.8306233535,2725.6517330145,2555.572256903,3073.7465451881,2699.5609237907,2727.6933409796,2570.735846442,2868.6909172531,3014.8090817756,2699.8240052189,2446.8993236728,2892.6135846572,2316.9361802143,2343.1313177681,2578.9534671784,2759.0714527709,3033.5723474975,2388.9222237916,1933.7140302605,2758.9840886376,3043.7583711169,2441.8614686966,2140.2642118949
Arfgef2,18.4782106487,12.0429157743,18.4782106487,12.0429157743,11.8473348397,12.5409713846,14.5934453086,10.55687383,12.8667982616,11.6574424569,11.7584891885,8.1872906448,15.7728651716,12.3856746915,9.2390344765,6.5416661626,12.4866151348,11.1399549049,8.6722122277,9.4355716102,16.2870083838,11.6469195622,11.669543298,7.8733377397,12.9368721616,10.2807698289,14.4621282339,8.7197572386
Stau1;AK041781,47.9166518448,38.4159066901,47.9166518448,38.4159066901,37.3231020688,39.743245003,53.3807643028,50.9342821402,36.9826136815,55.5576363822,55.4622283784,66.2423177055,46.7690931386,43.4197603704,69.167967145,81.6222178287,35.799233013,43.9423098786,71.4558267154,77.3152996501,37.1466607869,35.2623155737,60.1955714888,60.1190542714,46.3746460764,43.6396698625,59.4083034214,58.3964594664
Sh3bp1,121.5209137309,78.754056343,121.5209137309,78.754056343,100.3647693473,93.1973498517,99.6350315405,101.5769398414,110.8869269675,85.057065111,69.3828783747,47.9609660173,129.6662538621,106.9806085634,27.1755621908,24.4227870163,103.3732983443,112.4937902885,35.5297909808,29.6900079247,115.2192053274,103.1951990565,43.4217653807,41.5484208586,105.0499244813,106.1665548583,50.0179606929,42.2692814319
Bptf,34.2275419393,57.1766524597,34.2275419393,57.1766524597,41.3439512032,42.581320052,39.3891948703,69.3241549128,35.9381830506,56.8164919382,24.9241973918,41.4848623319,47.2667853249,49.6726345027,34.3454158517,63.4916723354,32.4304393175,87.8360582727,41.4325370985,59.1576562532,39.986241137,60.316361646,24.7388577934,53.2583413131,43.9566997027,50.1018640748,23.9821018046,44.7026971624
Lasp1,278.3175601435,232.290707221,278.3175601435,232.290707221,228.8763154278,248.3424519151,224.1034240408,221.0737914807,249.7203091381,235.0013859324,245.4311403351,239.6327131193,327.2276637521,302.8576462632,200.6898589879,182.3212980482,297.6591757802,239.801767471,215.484311236,201.1328549279,317.2375741771,217.9484851379,242.468710897,204.1100355906,253.9364271742,218.8263279381,213.4807253148,181.5604276852
