Gene Group,R1 MOCK 0h,R2 MOCK 0h,R1 LPS 0h,R2 LPS 0h,R1 MOCK 01h,R2 MOCK 01h,R1 LPS 01h,R2 LPS 01h,R1 MOCK 02h,R2 MOCK 02h,R1 LPS 02h,R2 LPS 02h,R1 MOCK 04h,R2 MOCK 04h,R1 LPS 04h,R2 LPS 04h,R1 MOCK 06h,R2 MOCK 06h,R1 LPS 06h,R2 LPS 06h,R1 MOCK 09h,R2 MOCK 09h,R1 LPS 09h,R2 LPS 09h,R1 MOCK 12h,R2 MOCK 12h,R1 LPS 12h,R2 LPS 12h
Snf8,233.8042743165,291.212112308,233.8042743165,291.212112308,233.5224416378,212.7497875125,243.7937712874,320.5181717568,220.3152213136,266.7941806034,185.364446869,170.3324238902,230.6396820251,199.0501400398,221.8422740939,227.7638041725,256.1978388505,291.3419071656,171.7695807603,196.7625634811,240.1449348863,201.1862904232,169.5402543069,244.3949915979,259.3095878296,241.0556116532,179.3422029634,202.6500321723
Cd300lf,209.7281340057,496.4840798054,209.7281340057,496.4840798054,239.4510533837,373.0065329325,259.4159784695,532.500610528,336.6563052126,415.1951553716,204.7148839779,289.9930431975,440.8991033142,285.173602362,158.5105707847,161.5455301053,291.4736658544,418.4868270948,207.3976555932,256.827276907,236.9326851635,293.9179663101,271.8023693262,497.5111826429,239.7891937875,303.7645812804,361.8522446081,525.9649798046
H6pd,14.277267424,8.056340357,14.277267424,8.056340357,9.3024843634,12.6712667171,8.7024662871,4.2355997552,9.3334183227,8.3728096845,2.0954796928,2.229256587,9.5264350593,15.3483002103,2.1857748555,0.3667631377,12.3226370921,7.6902904237,2.90415115,4.0419499323,14.0858555286,10.0566956036,6.9736004828,4.380367852,9.0341172625,8.4773615936,11.0347466156,4.9894240763
Lepre1,14.759869427,9.7506507208,14.759869427,9.7506507208,8.7050671348,12.9294165859,9.8902574284,7.6713728181,8.7186200933,4.8843165607,7.4256121004,3.8763750151,8.4016084136,15.2736381983,3.8708366811,5.6719345709,10.5928178339,9.1687434421,4.4960694511,3.6378497575,10.9881666107,9.111834407,6.7253128063,4.9135085991,8.9455395604,8.5519257293,10.2255627756,8.7273863274
Epb4.1,36.9386482534,46.3302137817,36.9386482534,46.3302137817,29.749832843,39.6219480458,43.7066691295,66.1527063676,31.8266963172,38.6918176422,16.9742288311,30.3846502337,34.7471085301,45.8367050547,6.4343950956,9.6486358866,32.4780732907,45.2017409736,8.5628814393,13.3273435654,33.7429537916,37.0057487445,15.3804818585,20.0742719261,36.7165881147,46.160604452,26.530482569,34.9478396868
0610037L13Rik,40.8321602891,31.7053080985,40.8321602891,31.7053080985,33.4637163026,42.2000944991,36.6517982471,21.7469166239,29.4033450449,38.1369646441,38.3991846121,36.4896046236,35.4727646123,30.9644411721,30.1773013128,40.4838987171,37.1517226269,22.1810018728,29.9592297654,24.1406289392,32.2996182029,49.2453365832,35.8994040121,19.7555172431,39.7212680153,36.2671245893,32.5126450999,40.11764049
Srrm1,129.9400890621,229.6867881024,129.9400890621,229.6867881024,132.0318777698,182.796749366,183.8410625779,466.4992973583,144.9819843434,237.076695653,136.11191329,238.9826401748,175.263932036,164.1875369729,128.5478509331,217.4258349478,140.6036282807,264.6824649829,107.4362664913,154.2589000046,147.0020271698,185.9389360389,102.6803456856,228.6508811898,168.5958686087,206.9005699507,122.3211216553,242.2039118471
Osbpl9,84.3577508834,35.322095904,84.3577508834,35.322095904,68.1569909638,59.7076596346,68.3853789205,41.9641488041,54.155356739,44.4415986167,66.0161660816,43.7902546439,69.2698057112,53.4117764632,42.8666404815,39.125369642,58.1241346324,43.8575029474,52.5253741023,43.5738919843,69.8949540808,59.5645618067,67.0430430381,36.0729551281,57.8936227135,43.3164550187,72.5694948981,44.6052065832
Gosr2,74.4844233802,39.9886983994,74.4844233802,39.9886983994,66.8270713617,53.9362282933,76.9700012954,36.6167871052,60.6750787391,40.3978065565,75.1352503906,73.0737145706,59.0067781695,69.9105585665,79.9660646503,54.0527867462,59.6770841451,45.7198784544,86.9008943333,60.287923148,70.0506002618,40.3432465521,116.5979556541,60.7413525405,56.4569576455,49.4182972716,114.5470350388,75.5797661002
Nrd1;AK138781;Mir761,98.7075108802,98.0143687947,98.7075108802,98.0143687947,67.3589452976,77.9132167812,100.6611108681,137.3395723195,90.2212981491,82.7697145786,103.0251026558,103.9829966437,101.1176422358,85.800041757,72.4648999796,81.0498324584,74.4304258165,93.3658937555,53.901636273,67.2416282687,78.0682088518,82.1621760024,63.4010408852,72.8384678618,69.631658843,92.578048861,84.6426499759,67.3216634262
Sec24a,65.7921729703,106.3971216944,65.7921729703,106.3971216944,60.2545320681,85.1513902889,250.4414365105,190.0518258074,75.0937555879,123.7287513003,68.6081406056,95.6562930403,171.4296281804,79.7790645689,80.3913601026,111.9468711945,98.3720886628,133.3701731649,63.9222318044,88.4158529357,82.034153132,82.0704363931,48.1092902669,133.9991130214,132.112658124,120.9575870789,45.5887151164,94.6240190216
Exoc7,21.5882493967,13.9295222912,21.5882493967,13.9295222912,16.8917147352,14.0296729314,16.5404798131,6.1005307082,18.5592202291,15.2503113749,13.7949678786,13.4866256169,20.3100733384,19.4886620323,9.913304556,9.4261331406,18.7486419409,10.2809476377,13.7754614639,12.7325827678,17.0129598824,16.2628950193,17.2577995652,10.2119405138,15.2225138213,16.4156250639,17.6340502707,18.1883054945
Sh3pxd2b,167.5721119093,168.8198419232,167.5721119093,168.8198419232,135.8384329049,149.6252297783,214.4208985974,185.7573856052,156.0379217222,159.7670698718,147.4834842873,117.0529958562,198.4292682374,148.312335061,99.7831498048,55.2385771024,157.937082148,142.9904847775,78.6313736507,61.4774693002,149.6685143217,131.9377465117,87.5541208298,85.8963211835,131.1728873442,127.0479437566,100.5065749039,82.9458436312
Arhgap27,27.8432673562,17.5517817656,27.8432673562,17.5517817656,20.0571872354,24.0884620584,16.9966625306,26.2901457189,24.8721237881,28.7183550649,6.9182209602,9.6869675151,23.6971164278,31.801440976,3.5110662843,7.9698671057,22.2185234155,32.975797882,6.6985459548,6.6494124926,28.5443672967,37.6695468569,14.2201364996,18.4688006976,30.044701247,33.5518518838,19.0068215483,29.448263459
Pcyt2,61.9629858815,53.1815408462,61.9629858815,53.1815408462,57.2620737098,82.3405424573,90.0959646557,102.0023612842,64.1761112983,80.89884008,59.7967630739,73.4164515977,85.3972927991,98.3166847242,28.8729166094,29.7740798848,56.1275271479,64.064216581,20.835488195,23.8881452214,64.1375986243,48.2621578526,13.8442193696,11.4802336448,60.3532696873,56.1737749935,20.8979884202,10.9664039071
Ebp,119.4907687236,160.7041542441,119.4907687236,160.7041542441,134.6958456498,116.4699900854,125.03573475,99.0905331215,152.2134188684,174.0902439186,109.8454413768,98.9767852598,135.4364973555,128.3626029321,70.4540438597,91.2722154956,121.193290436,194.1697370258,50.0153903487,59.9967776993,126.8949236061,120.1059818998,37.0834042475,73.0110782869,116.3788497113,133.4241113677,32.0319295741,56.1879942766
Rpn2,242.6729237486,198.6762702913,242.6729237486,198.6762702913,225.2799399209,205.208757563,222.9509925233,146.290742431,232.7246670625,170.5502438701,236.2533245087,136.9006445901,239.3795206799,197.6674679729,187.8532949331,137.6672715915,241.2966313761,173.1285918907,161.7389492948,133.576623125,222.895350218,182.3939713163,158.2538450676,128.2483660899,197.7269004762,152.3978686286,154.3493080734,124.3945413277
Chm,16.1760591541,10.9588595089,16.1760591541,10.9588595089,12.4735165475,13.601010306,16.0622127662,17.4909726625,10.8469743486,12.0619740438,19.0813285277,16.5092553677,14.0499735535,11.7097487867,12.5501892065,16.3925867097,12.2777962683,7.9858479311,21.9729505267,23.6120214758,12.9207534721,11.1241642883,24.4016753372,19.1518112963,13.6566591518,11.8403393919,23.1583572494,20.360520056
Ddi2,31.5420053821,22.9585213498,31.5420053821,22.9585213498,13.0780149551,15.9468829552,18.0837255698,14.3028560883,22.3199665276,25.2806537553,5.8948878952,3.6350281172,24.3228072198,27.1714500689,3.0136499173,6.7086504115,22.0377407768,15.9341540665,3.0087483057,6.5825729564,21.0035250198,11.4722350884,8.9937117968,7.3329940085,14.3695226575,15.8703074536,13.1959090521,7.2396472626
Ampd2,76.0275480498,46.2151012674,76.0275480498,46.2151012674,56.2142312069,56.5038370004,115.7351372888,68.9643046508,63.6484924189,53.275900224,66.2463473675,53.2593249777,73.920686488,52.6376881726,27.9777306994,23.8957470192,55.7309478501,55.3973603157,24.32706054,28.0127232962,64.8425572912,37.489373572,36.7281532769,28.9799286801,51.116813636,43.8156435817,41.8329285004,23.430821222
Tcfe3;Tfe3,113.6586379346,137.864785354,113.6586379346,137.864785354,111.4588056287,130.3567118255,109.7757077778,108.2962829598,119.8721275842,151.5092109291,69.8799506874,82.5101933613,106.8799726562,126.8064448373,50.4066443854,71.1769134497,104.4704198063,143.0589937808,59.3672235615,71.8897653307,114.0593126923,116.1216522106,62.0123824733,110.2504020429,104.7786013548,127.8243767204,70.2985903696,89.8442172994
Huwe1;mKIAA0312;KIAA312,70.0053652718,92.4775434043,70.0053652718,92.4775434043,47.1652533102,79.7368336278,66.9131332101,147.1750484649,56.5773087131,92.3043216262,74.6676253414,101.6948390977,64.8878604847,76.574815283,51.7610982401,116.6519274008,43.9281712294,85.6179378268,36.6116944091,50.6304900031,48.9558049865,63.7926751676,36.8023909078,94.8268370085,48.0906405963,72.6515264838,47.2727365723,68.7454790474
Mtch2,132.7341531757,90.3784228834,132.7341531757,90.3784228834,122.7766277854,121.6935085143,102.9491591494,90.2724954133,106.6808374002,95.3228446908,108.1240976662,91.1726673833,119.2700711706,100.2031282209,93.9530320416,57.8367635774,109.8950091181,76.1706538336,85.0694872727,66.7508049676,124.5416044525,100.0704096617,69.9426051932,49.2312954498,117.1767922013,89.1051109408,69.9484128137,52.5816380722
mKIAA0031;Eftud2,63.4681553446,54.368348575,63.4681553446,54.368348575,55.9645479719,44.8879309901,79.2511577149,93.5693187326,61.2808300059,59.8075542201,50.7204601128,49.8692866719,70.6164692619,46.3485076793,35.8850918314,49.3482365998,61.0963302723,61.5544322573,32.6121172141,33.7010755623,55.5208803711,62.2916926431,30.177185534,53.3998052024,47.5462534105,58.579082151,34.7587137216,31.7813727318
Dgkz,132.3951941928,126.1357892656,132.3951941928,126.1357892656,93.3720609116,138.7100015118,69.2161707334,97.3811897273,103.0840008971,140.6637022425,43.2445693613,53.3260725942,143.2539223226,153.665236372,39.8929809527,43.9930900717,114.8572300816,140.1378448092,51.6449485426,58.8359923961,107.6898285064,100.136435804,73.4344218197,86.5594690037,94.3274826103,101.7029088619,80.4875793689,79.1124456777
Bcl2l1,89.5315501529,150.838157979,89.5315501529,150.838157979,112.1278024747,112.4597741452,186.5205087939,144.3272458309,150.2169437943,140.8523923863,321.4559934911,290.6215329011,150.3321277919,121.7692565441,195.3225742742,165.3949194262,136.9844852683,161.3219824167,141.1931674713,131.4252959411,111.3525613095,103.3577389827,119.6707052196,183.2700618912,93.4240224392,93.2214761711,111.6117241252,132.004107123
mUBPY;Usp8,76.6582345188,65.0494521975,76.6582345188,65.0494521975,47.928677241,61.2809184266,53.6315257317,84.6640043643,51.4025145813,64.9512621902,49.7145200586,66.6690279297,62.6834291954,47.615277642,40.7038743941,54.1533170983,45.4297294165,63.9548594615,42.5954128371,55.2956872257,51.6297214254,51.9430926395,53.9506780727,53.8684902923,54.5281534756,65.5983626269,61.8353715435,59.5101773846
Card9,92.1629821733,64.1890868953,92.1629821733,64.1890868953,67.037058317,92.0946280014,72.5756199159,76.5738495465,103.2567409436,96.2936878926,40.2161632472,28.384060752,93.9225655233,78.3485447306,16.5090065432,16.9902172253,80.9825017749,56.2416084382,21.9914640588,18.2875837902,65.6550094611,106.8926534503,27.7735002037,20.8907347623,75.9015436677,80.640643343,47.1230247741,41.5058082304
Sec16a,35.2213805179,22.6649340031,35.2213805179,22.6649340031,25.7083091307,25.8119332245,23.7368641914,15.173741147,24.7985040289,21.878768245,18.9087632376,14.1943823224,27.9876457507,29.4388028509,14.0406325359,9.0592358477,24.6282602,26.192274922,18.5144323184,13.6198557551,27.5144948797,25.8842343215,20.4847638511,15.2200025706,24.9605178784,27.9635032828,27.8373299936,20.87790287
Mtap7d1,165.5468627953,173.6357920828,165.5468627953,173.6357920828,153.9015362092,164.5837105694,140.7716056191,198.7526378198,175.021272623,168.8305988553,115.265680308,116.6711071545,180.7771793793,184.1794728736,77.6380392874,86.9364896412,163.1637872945,191.5049149981,87.946825617,98.6127302666,160.7566298487,179.2603023351,97.2636005934,101.0068230003,169.5499573983,163.5974057692,114.9952270591,110.4186322774
Ttc1,61.7386855641,47.3677313165,61.7386855641,47.3677313165,68.3766106787,54.6427534671,69.5586755403,110.4677815175,55.8040455123,68.9269386879,65.0875230944,62.5315782779,67.0711296479,53.7966747866,85.5111845752,65.8363176533,58.9024294945,62.2128280105,75.3426321029,53.6055385312,71.312639444,42.4573842766,62.5986137678,40.976342768,59.8343893514,83.1321211579,69.8290925309,68.5798299122
Agps,53.4643106875,25.7690411078,53.4643106875,25.7690411078,35.9656827009,35.9286989419,36.788902461,34.4735084077,32.5786295467,27.5215892127,32.2363022457,22.3291457262,38.5153105437,34.8722962596,16.696254009,12.1676786961,36.0959047586,24.758960792,20.2975882275,15.205654254,37.4676779845,32.7982305403,20.7456662144,12.0499396295,34.6912714228,25.7897923062,22.0860398283,13.4393670438
Asph,29.796141225,30.8449840432,29.796141225,30.8449840432,31.1812017157,31.5999966403,41.0274706942,27.6868118054,27.05488906,33.609492124,28.6476435338,28.2649497428,33.7574706508,30.9237721329,25.4655036855,25.1375700163,35.3079498044,37.0098389214,21.9219307018,16.2152572226,26.0823469073,23.4837635226,17.101385924,22.3762534322,26.1087529264,26.7020225764,26.2081716485,23.4668425092
Dnajc8,166.463122054,326.3933969171,166.463122054,326.3933969171,223.1768047271,233.007052304,176.4033432039,252.2626267701,165.8567943906,255.615999716,145.8406644615,217.028425642,188.844749172,197.5207011971,131.2001072749,261.6373702133,183.7037633697,318.9510336718,165.3522712942,256.7825465182,194.8098053848,274.9045929311,167.6276091079,252.033525824,216.3461410203,268.3006265792,154.5210770724,273.4164271453
Ubap2,33.5283818789,28.0983720801,33.5283818789,28.0983720801,20.5003053619,31.0795079763,26.6898113184,29.09621114,25.4336256306,29.5997115277,22.7375692658,25.9158970168,28.9030346114,29.373167698,14.6300589911,18.6057588877,23.1587558978,25.5445836174,11.4115138065,10.673873004,27.6751416102,28.3439497057,12.4082136636,11.9052918401,24.9724709669,31.079283574,15.3554820633,12.6564481194
Ubr4,22.3884403921,35.3225331186,22.3884403921,35.3225331186,18.8963748297,25.6219409208,28.9450880712,102.76351914,24.1659260861,34.3526709078,37.4175717625,46.2142387226,23.1943696532,31.0169066144,59.3637696323,94.3387910474,19.5347671946,41.7833848545,45.7825909233,75.4064310942,20.084869269,29.9684255721,41.7936376104,89.9128068915,18.6775775246,31.9602684953,40.9772576839,67.68058931
Hmgb3,31.427026225,43.4684196956,31.427026225,43.4684196956,37.4686734698,44.9119217389,42.3595476879,26.7029201794,33.6860134184,52.3086124688,20.804351378,21.6527659441,43.3030123234,41.6200343624,16.1403183936,21.2111028721,31.9376067399,37.3216655259,7.2934154852,16.826605125,27.2927818529,34.3262883747,4.3042391955,16.0385268845,28.9769128972,34.6339821357,2.2862565106,14.1430450855
Cd44,367.05647397,569.536905766,367.05647397,569.536905766,396.0856645061,567.0613819136,646.3598437112,680.0286958146,366.0555629738,632.2247179655,672.2054531641,1086.2441355362,512.8484893867,553.8536058043,513.4629291052,750.60962217,445.131765944,625.2616018652,395.6339630437,513.8586413841,350.8452438821,537.0684410218,242.5437462963,463.9573090882,335.8869775664,486.9563190269,186.814333918,318.3346738039
Fmnl2;mKIAA1902,11.8853404238,14.7924720872,11.8853404238,14.7924720872,10.3022859307,12.9987725103,18.0192002341,19.7516545292,13.179944999,15.7651197065,24.6576948919,22.5236770232,14.1311371972,12.6648487786,58.7308245794,75.3147676766,10.4012402585,15.0041479057,96.0380748887,114.2241720333,13.4220878618,11.9939095228,96.3765089228,87.9928749477,11.1043145372,11.2711248188,84.5171468398,79.7263374779
cbp82;Rtf1,78.3622292136,251.557107146,78.3622292136,251.557107146,120.5579435836,96.1794176973,101.8400047869,241.2257709501,121.9511440486,161.8763031725,106.0987974227,142.4010011243,156.631522527,127.3360588594,103.592393246,152.6401583316,121.5448254026,223.4379135562,87.6585344696,137.314989077,129.7997369571,161.4000182899,49.5417622206,120.0977283767,138.0770998578,168.2332024833,51.955603062,148.8256677054
Acss2,26.204153893,26.4743105628,26.204153893,26.4743105628,18.3291804285,24.6760392824,27.2561841943,19.6777770818,25.089570923,22.0327766982,17.1064917111,20.5361254981,30.5711828751,31.9625719536,16.7539255133,7.117974615,25.3395547116,29.1403537409,10.5902353825,10.4255918046,29.247505198,27.4302665678,16.456667509,20.7412841562,29.7898171576,19.7331007499,31.4551218954,22.1377890281
Srxn1,147.351643417,107.7620368083,147.351643417,107.7620368083,114.3384883152,164.3807380734,159.8329657799,155.7915897559,161.0790841176,164.3945054152,187.009747687,185.6211953065,189.6353224651,187.6398861209,146.8476311076,101.3829567694,180.351661023,122.9673633947,99.3184709379,70.8307335907,140.286388994,117.3916085848,175.9396877142,107.3861501996,137.2960994455,117.0382405403,327.9136567617,219.9220856231
Ppig,76.7370914166,211.3112047639,76.7370914166,211.3112047639,100.4252460963,140.5804280511,146.0256916607,386.5545923866,109.0876147492,197.4244858272,110.0164657849,185.5564740417,149.2089792598,125.3688224245,101.6518298453,239.5701982257,105.2050736553,246.3278237179,92.5594101781,177.1090316184,99.4417334772,177.9926621392,72.0348347128,243.1068695859,128.5893250672,190.6576280356,92.5144456905,213.6057616627
Ssb,237.0135069942,535.1199185668,237.0135069942,535.1199185668,303.8937218055,399.2065953701,271.3784195543,495.9966429565,256.5891005373,487.6839808278,211.7765830141,370.5130626214,316.2395581019,318.577448527,153.1187833792,336.6952824303,247.2844496837,576.3229568573,161.8295542328,291.5461815476,251.5515744556,459.9018265471,128.0055552942,331.0034271643,325.3685715304,416.2902793847,138.2322403169,270.0231155641
Slc2a6,209.2274013728,105.5702670304,209.2274013728,105.5702670304,158.1476733762,122.5074860371,652.8691364895,429.1939905784,165.0290386409,120.9351374052,812.4954654113,504.1669098985,175.0321935888,155.1602137209,754.4041674783,490.5431178465,182.2598185152,91.015874327,714.3679284548,572.2955016485,161.5925968557,110.9176360173,562.1363101864,282.4606360366,139.7160564692,104.4328949424,405.7838387198,216.7913466643
Kynu,16.408697211,16.6555274896,16.408697211,16.6555274896,19.2467994876,28.2303266657,27.0938257292,70.8630709832,17.4046141965,21.0182835616,26.6941680662,27.0058190492,16.6103238445,18.6024487451,120.9508230071,153.679303934,15.5294181461,7.6351032289,201.280531356,205.9162896931,19.2557481532,15.8609014198,177.4799730337,112.9389761511,18.5077921983,21.8213237258,107.1546269484,87.3294410058
BC006779,7.7657124533,4.5836014251,7.7657124533,4.5836014251,5.0700097736,6.529771948,37.8382483262,21.8435149497,8.5829054194,4.8608063389,156.7492223947,123.1706626293,7.9652183056,8.3970571032,208.3026528183,160.624511293,7.5825973268,7.0167723981,173.3612583213,157.2790605841,7.4302562019,6.004612155,170.6589026929,110.3084739809,6.7461579496,5.304531669,171.766996374,99.7317370895
Ttn;AK086312,0.3689993251,0.061245304,0.3689993251,0.061245304,0.1737431948,0.5064915071,7.3875601528,0.3247239114,1.5087089175,0.7975797925,1.1204126038,0.0402798819,2.3496979796,0.2126726363,2.2716775113,0.7948598356,1.938156512,1.7282261298,0.1540522448,0.0176821924,1.3117542061,1.2191365048,0.3253769773,1.316019061,0.9173139134,0.0787905617,0.5323677492,0.0504309074
Gorasp2,116.7184204437,141.9349300695,116.7184204437,141.9349300695,139.2052568005,124.5473459416,138.2857788201,88.3889934268,129.5026972322,149.2921145439,119.3133649186,118.4398930296,134.612431657,128.7235577199,112.7043041735,109.5001849453,142.6638209117,169.5379159789,110.7307489977,115.7148339506,156.5558180671,143.408347901,108.4044044729,108.6640185856,160.2972103803,110.3483830425,85.5347001977,105.4870998256
Raly,191.1796431902,112.0987240836,191.1796431902,112.0987240836,142.6883166432,141.5254268292,137.9601945416,111.4893891307,137.0271671092,79.7198540907,142.5209830036,78.2704256331,128.4388548899,134.8050688841,85.6636409855,66.5617288476,121.4422828818,67.5712375265,89.5248963592,64.1123810297,133.3150964368,111.6370201702,115.0059290491,65.9715168243,109.4421486901,106.4666105696,104.7573672965,60.8528749498
Rrbp1,216.8027230543,660.7368839891,216.8027230543,660.7368839891,230.5301397607,448.1925900721,407.0328855356,1882.5134872557,319.411086923,519.2782050191,444.4631855802,599.9929799021,453.3919194452,361.5145602044,352.8398515928,1091.0622666163,299.590579947,850.7435770417,286.3053063623,756.8114093752,250.5147942233,508.8723141266,210.8644122611,1011.0757573862,342.9248320175,552.4031643355,248.0744497339,831.7150048486
Rabgap1,17.7169873514,19.0640411411,17.7169873514,19.0640411411,11.8432193778,17.3436665036,18.8275132868,23.9339517673,13.6153926487,23.073668348,15.3721900343,15.8650578828,16.743826297,14.984183049,11.9094683053,20.8720319579,16.1521220275,26.4218737644,10.6127141854,15.8704831617,17.3154981906,11.4939074647,14.1694784923,20.9231075387,16.7713106803,20.6917155474,16.4730956561,18.996495589
Adnp,47.5953480765,37.3493926545,47.5953480765,37.3493926545,31.5747539172,40.1968583649,33.1977078541,30.8339249875,31.7890866627,38.0488083609,38.3398478735,30.284363611,48.6045800225,33.2980347643,27.9720852863,24.3278948569,32.6880098373,29.6288183212,40.7465063929,32.1805346965,38.7470557807,35.4493116398,36.9188159868,27.2816902437,39.176611974,32.412460286,38.292098077,29.7976295143
Set,373.7415255097,645.7394189807,373.7415255097,645.7394189807,408.8183204989,516.9043242213,385.5479514057,837.5287633673,399.1562391652,685.9041338276,330.7084444978,523.5214187582,455.3144623782,459.468529643,232.1741826052,353.3865878482,393.2201508186,705.7615020122,176.0511834106,265.1792653034,381.1217595038,558.2150438795,172.7120165614,330.9306604748,354.1247585139,477.4377014054,181.6759369801,256.9184814945
Arid1a,50.900895006,57.8002571193,50.900895006,57.8002571193,43.3226626823,45.7850806104,37.4029812066,45.4511447682,42.9733210265,55.9368367626,35.5286652857,34.052502627,47.453743805,54.1841257421,51.1417531903,78.1618101724,40.7617599437,65.4105880601,61.126333799,65.3143980872,51.4280889521,56.5425803901,39.0779398889,50.9572244981,55.5442862912,54.6842581148,32.6452726986,44.962461812
Clec10a,236.6027329016,279.2254528736,236.6027329016,279.2254528736,322.4914024995,245.8193241853,221.0561686065,137.5747997101,278.9974345988,220.1659906859,158.9526341391,130.4327019431,196.8230919478,156.1453082299,50.5831858646,50.2356987233,147.6659987821,171.4550895281,20.4560305875,22.0965639562,140.9991920754,174.8450304973,6.0648697213,18.0000979815,166.857841609,201.9858580254,4.7564696738,8.2768480161
